unit_id;msmid;location;timezone
62712;28f784568afa11e2b54500e08147c934;Bremen;Europe/Berlin
123256;bdf8bc9a8af611e2a74900e08147c934;Munich;Europe/Berlin
148644;635cd9468afc11e2901a00e08147c934;Braunschweig;Europe/Berlin
148650;915c1bf6b4a311e2a0d300e08147c934;Oldenburg;Europe/Berlin
167808;28ea168ace7111e28ebf00e08147c934;London;Europe/London
148634;756a5566d51411e2ac9f00e08147c934;Torino;Europe/Rome
181536;689e8df6d8fd11e297d600e08147c934;Madrid;Europe/Madrid
143666;93758a3eda6511e2814500e08147c934;Timisoara;Europe/Bucharest
148648;d8bd1eecdf1311e2814500e08147c934;Olten;Europe/Zurich
129210;b9932adee24711e288cf00e08147c934;Ipswich;Europe/London
239416;9a890ef67f9511e3908700e08147c934;Stockholm;Europe/Stockholm
200864;8c3652e2810611e3a2f800e08147c934;Fukuoka;Asia/Tokyo
19602;1c122042829e11e3a2f800e08147c934;Madrid;Europe/Madrid
200172;43429f748f4711e3b77500e08147c934;Niigata;Asia/Tokyo
241735;92d329488fd611e3b77500e08147c934;Gembloux;Europe/Brussels
181532;05fc09a697e511e3913100e08147c934;CERN;Europe/Zurich
241733;7931bc2ea87811e3914e00e08147c934;Alleur;Europe/Brussels
201338;27b0bd32a2fb11e3a2f800e08147c934;Bremen;Europe/Berlin
474346;45792d9aaf4411e3971a00e08147c934;Hengelo;Europe/Amsterdam
241743;60e88ffeaf3e11e3971a00e08147c934;Shizuoka;Asia/Tokyo
148220;ee63c7e6291811e4ae5700e08147c934;Helsinki;Europe/Helsinki
631352;85342e725f6a11e486cd00e08147c934;Roman;Europe/Paris
631646;358555645f7311e486cd00e08147c934;Brno;Europe/Prague
483702;1ac50686606611e4b7ae00e08147c934;Southampton;Europe/London
632384;5cb438409c1711e4887c00e08147c934;Tarttila;Europe/Helsinki
658891;a63430ccb5c811e4a69300e08147c934;London;Europe/London
658893;f7ccdbaab5c811e4895500e08147c934;Philadelphia;America/New_York
658895;a2a0f6a6b5c911e49e2800e08147c934;Golden;America/Denver
658901;17c17a6eb5ca11e4817000e08147c934;Fremont;America/Los_Angeles
658739;b161960cb5cc11e4b42200e08147c934;Atlanta;America/New_York
658741;ee3c3528b5cc11e4990c00e08147c934;Santa Clarita;America/Los_Angeles
659044;561d587ab5cd11e49e2800e08147c934;Somerville;America/New_York
635478;f2fad71ab61a11e4a67900e08147c934;Enschede;Europe/Amsterdam
635734;02892dd4be6e11e49ffd00e08147c934;Vught;Europe/Amsterdam
658897;416ba4dcbe6e11e49e2800e08147c934;Raleigh;America/New_York
658899;dadf6ae0be6e11e4a67900e08147c934;Falling Waters;America/New_York
658875;a576f7ecbe7311e4817000e08147c934;Calgary;America/Edmonton
660078;f3d48fe4be7311e4a00300e08147c934;San Jose;America/Los_Angeles
660160;4f2f4cb6c1bd11e49e2800e08147c934;Neckargemund;Europe/Berlin
660166;3cef0680c1be11e4b42200e08147c934;Drammen;Europe/Oslo
658737;d72c328ac1bf11e4990c00e08147c934;San Jose;America/Los_Angeles
660120;2fa51e40c1c011e49e2800e08147c934;Toronto;America/Toronto
632406;07ff9a68c1c111e49ffd00e08147c934;Pisa;Europe/Rome
658929;f29a719ec65611e4a69300e08147c934;Salem;America/Los_Angeles
660864;07e1bc68c65911e4a69300e08147c934;Malmesbury;Europe/London
660146;4eb3f818c65911e4a00300e08147c934;Kailua;Pacific/Honolulu
660148;68efa646c65911e49ffd00e08147c934;Sioux Center;America/Chicago
632438;0d33c84ec65b11e49ffd00e08147c934;Oslo;Europe/Oslo
660162;5a7ce5d6c65b11e49ffd00e08147c934;Oslo;Europe/Oslo
660128;bfd3643ec69511e4a67900e08147c934;Riga;Europe/Riga
525918;7cb11ea8c97411e4a00300e08147c934;Gavle;Europe/Stockholm
660862;e681bb1cc97411e4a69300e08147c934;Dublin;Europe/Dublin
525884;2fadc1cac97811e4a00300e08147c934;San Benedetto del Tronto;Europe/Rome
660170;0ac18d78c97911e4a67900e08147c934;Tokyo;Asia/Tokyo
660860;848b60b0c98e11e4a69300e08147c934;Jessheim;Europe/Oslo
660150;0319d9e6d3d711e4990c00e08147c934;Sioux Center;America/Chicago
615244;d7395310d3db11e49e2800e08147c934;Delft;Europe/Amsterdam
659046;1133553ed3dc11e4895500e08147c934;Somerville;America/New_York
632466;1833f5c8d3dc11e4b42200e08147c934;Sarajevo;Europe/Sarajevo
659048;54511e78d3dc11e49ffd00e08147c934;Belmont;Europe/Paris
661030;f837b51cd3e411e49ffd00e08147c934;Colorado Springs;America/Denver
632394;835a36a8eaa411e4aabb00e08147c934;Haarlem;Europe/Amsterdam
661026;eafddfe8eaa511e4aabb00e08147c934;Ottawa;America/Toronto
663066;01d18bf2eaa611e4852c00e08147c934;Singapore;Asia/Singapore
663068;3cf16dc4eaa611e4852c00e08147c934;Lokeren;Europe/Brussels
632288;6cbffc96eaa611e4aabb00e08147c934;Fortaleza;America/Fortaleza
661032;cef0033eeaa611e4860a00e08147c934;Salem;America/Los_Angeles
635410;f9fe9054eaa611e4860a00e08147c934;Christchurch;Pacific/Auckland
