unit_id,src_asn_v4,src_asn_v6,src_holder_v4,src_holder_v6
62712,680,680,"DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.","DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V."
201338,680,680,"DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.","DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V."
123256,8767,8767,"MNET-AS - M-net Telekommunikations GmbH","MNET-AS - M-net Telekommunikations GmbH"
148644,24956,24956,"GDS-1 - Gaertner Datensysteme GmbH & Co. KG","GDS-1 - Gaertner Datensysteme GmbH & Co. KG"
148650,3320,3320,"DTAG - Deutsche Telekom AG","DTAG - Deutsche Telekom AG"
660160,3320,3320,"DTAG - Deutsche Telekom AG","DTAG - Deutsche Telekom AG"
950210,3320,3320,"DTAG - Deutsche Telekom AG","DTAG - Deutsche Telekom AG"
167808,5607,5607,"BSKYB-BROADBAND-AS - Sky UK Limited","BSKYB-BROADBAND-AS - Sky UK Limited"
658891,5607,5607,"BSKYB-BROADBAND-AS - Sky UK Limited","BSKYB-BROADBAND-AS - Sky UK Limited"
950230,5607,5607,"BSKYB-BROADBAND-AS - Sky UK Limited","BSKYB-BROADBAND-AS - Sky UK Limited"
148634,3269,3269,"ASN-IBSNAZ - Telecom Italia S.p.a.","ASN-IBSNAZ - Telecom Italia S.p.a."
632406,3269,3269,"ASN-IBSNAZ - Telecom Italia S.p.a.","ASN-IBSNAZ - Telecom Italia S.p.a."
181536,8903,8903,"AS8903 - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA","AS8903 - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA"
143666,2614,2614,"ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare","ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare"
148648,13030,13030,"INIT7 - Init7 (Switzerland) Ltd.","INIT7 - Init7 (Switzerland) Ltd."
660852,13030,13030,"INIT7 - Init7 (Switzerland) Ltd.","INIT7 - Init7 (Switzerland) Ltd."
129210,2856,2856,"BT-UK-AS - British Telecommunications PLC","BT-UK-AS - British Telecommunications PLC"
239416,50989,1257,"SITABINFRA-NORDIC-AS - SITAB Infrastruktur","SWIPNET - TELE2"
200864,4685,4718,"ASAHI-NET Asahi Net","CKP Cyber Kansai Project"
19602,12715,12715,"JAZZNET - Orange Espagne S.A.U.","JAZZNET - Orange Espagne S.A.U."
200172,18070,18070,"NDAC Global Network Core Co.","NDAC Global Network Core Co."
241735,12392,12392,"ASBRUTELE - Brutele SC","ASBRUTELE - Brutele SC"
181532,513,513,"CERN - CERN - European Organization for Nuclear Research","CERN - CERN - European Organization for Nuclear Research"
241733,9031,9031,EDPNET,EDPNET
950208,9031,9031,EDPNET,EDPNET
474346,3265,3265,"XS4ALL-NL - Xs4all Internet BV","XS4ALL-NL - Xs4all Internet BV"
635734,3265,3265,"XS4ALL-NL - Xs4all Internet BV","XS4ALL-NL - Xs4all Internet BV"
615244,3265,3265,"XS4ALL-NL - Xs4all Internet BV","XS4ALL-NL - Xs4all Internet BV"
632394,3265,3265,"XS4ALL-NL - Xs4all Internet BV","XS4ALL-NL - Xs4all Internet BV"
950214,3265,3265,"XS4ALL-NL - Xs4all Internet BV","XS4ALL-NL - Xs4all Internet BV"
241743,2518,2516,"BIGLOBE BIGLOBE Inc.","KDDI KDDI CORPORATION"
660170,2519,2516,"VECTANT ARTERIA Networks Corporation","KDDI KDDI CORPORATION"
148220,1741,1741,"FUNETAS - CSC - Tieteen tietotekniikan keskus Oy","FUNETAS - CSC - Tieteen tietotekniikan keskus Oy"
631352,8708,8708,"RCS-RDS - RCS & RDS SA","RCS-RDS - RCS & RDS SA"
